n,caso,k,p,analitico,simulado,erro_abs
9,k=n,9,0.9,0.3874204890000001,0.38738,4.048900000008793e-05
10,k=1,1,0.9,0.9999999999,1.0,1.000000082740371e-10
10,k=ceil(n/2),5,0.9,0.9998530974,0.99994,8.690260000010497e-05
10,k=n,10,0.9,0.3486784401000001,0.35364,0.004961559899999912
11,k=1,1,0.9,0.99999999999,1.0,1.000000082740371e-11
11,k=ceil(n/2),6,0.9,0.9997042939199999,0.9997,4.293919999898144e-06
11,k=n,11,0.9,0.31381059609000006,0.3128,0.0010105960900000377
12,k=1,1,0.9,0.9999999999989999,1.0,1.000088900582341e-12
12,k=ceil(n/2),6,0.9,0.999949819662,0.99998,3.0180337999952123e-05
12,k=n,12,0.9,0.2824295364810001,0.2817,0.0007295364810001037
13,k=1,1,0.9,0.9999999999999,1.0,1.000310945187266e-13
13,k=ceil(n/2),7,0.9,0.9999007145136,0.99994,3.928548640008689e-05
13,k=n,13,0.9,0.2541865828329001,0.25744,0.0032534171670999257
14,k=1,1,0.9,0.99999999999999,1.0,9.992007221626409e-15
14,k=ceil(n/2),7,0.9,0.99998279026164,1.0,1.720973835994677e-05
14,k=n,14,0.9,0.2287679245496101,0.22788,0.0008879245496100918
15,k=1,1,0.9,0.9999999999999989,1.0,1.1102230246251565e-15
15,k=ceil(n/2),8,0.9,0.999966375112032,0.99996,6.3751120320532095e-06
15,k=n,15,0.9,0.20589113209464907,0.20636,0.00046886790535091705
16,k=1,1,0.9,0.9999999999999999,1.0,1.1102230246251565e-16
16,k=ceil(n/2),8,0.9,0.9999940756769955,1.0,5.924323004502519e-06
16,k=n,16,0.9,0.18530201888518416,0.1867,0.0013979811148158439
17,k=1,1,0.9,1.0,1.0,0.0
17,k=ceil(n/2),9,0.9,0.9999885355640029,1.0,1.1464435997088351e-05
17,k=n,17,0.9,0.16677181699666577,0.16818,0.001408183003334229
18,k=1,1,0.9,1.0,1.0,0.0
18,k=ceil(n/2),9,0.9,0.9999979537560904,1.0,2.0462439096480267e-06
18,k=n,18,0.9,0.15009463529699918,0.1516,0.0015053647030008332
19,k=1,1,0.9,0.9999999999999999,1.0,1.1102230246251565e-16
19,k=ceil(n/2),10,0.9,0.9999960701176728,1.0,3.9298823272249095e-06
19,k=n,19,0.9,0.13508517176729928,0.1359,0.0008148282327007095
20,k=1,1,0.9,1.0000000000000002,1.0,2.220446049250313e-16
20,k=ceil(n/2),10,0.9,0.9999992911393668,0.99998,1.9291139366828247e-05
20,k=n,20,0.9,0.12157665459056935,0.11872,0.0028566545905693436
